source,line,specifier,edge_kind,owner
apps/app-partner/runtime/src/observability/sentry.ts,3,../config/sentry-config,IMPORT_OR_EXPORT,app-partner
apps/control-panel/runtime/next.config.mjs,1,path,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/next.config.mjs,2,url,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/next.config.mjs,41,next,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/dsh/administration/page.tsx,3,@bthwani/dsh/control-panel/administration,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/dsh/analytics/operational/page.tsx,3,react,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/dsh/analytics/operational/page.tsx,4,@bthwani/dsh/control-panel/analytics,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/dsh/analytics/page.tsx,3,react,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/dsh/analytics/page.tsx,4,@bthwani/dsh/control-panel/analytics,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/dsh/catalogs/governance/page.tsx,3,@bthwani/dsh/control-panel/catalogs,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/dsh/catalogs/page.tsx,3,@bthwani/dsh/control-panel/catalogs,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/dsh/dashboard/page.tsx,3,@bthwani/dsh/control-panel/dashboard,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/dsh/hr/page.tsx,3,@bthwani/dsh/control-panel/hr,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/dsh/login/page.tsx,3,react,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/dsh/login/page.tsx,4,next/navigation,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/dsh/login/page.tsx,5,@bthwani/dsh/control-panel/session,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/dsh/login/page.tsx,6,@bthwani/core-identity,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/dsh/login/page.tsx,7,@bthwani/ui-kit,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/dsh/marketing/page.tsx,3,@bthwani/dsh/control-panel/marketing,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/dsh/operations/page.tsx,3,react,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/dsh/operations/page.tsx,4,@bthwani/dsh/control-panel/operations,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/dsh/partners/[partnerId]/page.tsx,3,@bthwani/dsh/control-panel/partners,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/dsh/partners/[partnerId]/page.tsx,4,next/navigation,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/dsh/partners/page.tsx,3,react,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/dsh/partners/page.tsx,4,@bthwani/dsh/control-panel/partners,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/dsh/partners/page.tsx,5,next/navigation,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/dsh/partners/stores/page.tsx,3,@bthwani/dsh/control-panel/partners/stores,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/dsh/platform/page.tsx,3,react,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/dsh/platform/page.tsx,4,@bthwani/control-panel/components,IMPORT_OR_EXPORT,control-panel
apps/control-panel/runtime/src/app/(shell)/dsh/platform/page.tsx,5,@bthwani/dsh/control-panel/dashboard,IMPORT_OR_EXPORT,control-panel
