file,line,method,path,operation_id,owner,baseline_sha
core/platform-control/contracts/platform-progressive-rollout.openapi.yaml,58,GET,/platform/v1/rollouts/{id}/recovery,getPlatformRolloutRecovery,platform-control,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/platform-control/contracts/platform-progressive-rollout.openapi.yaml,79,POST,/platform/v1/rollouts/{id}/advance,advancePlatformRollout,platform-control,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/platform-control/contracts/platform-progressive-rollout.openapi.yaml,90,POST,/platform/v1/rollouts/{id}/pause,pausePlatformRollout,platform-control,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/platform-control/contracts/platform-progressive-rollout.openapi.yaml,101,POST,/platform/v1/rollouts/{id}/resume,resumePlatformRollout,platform-control,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/platform-control/contracts/platform-progressive-rollout.openapi.yaml,113,POST,/platform/v1/rollouts/{id}/abort,abortPlatformRollout,platform-control,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/platform-control/contracts/platform-progressive-rollout.openapi.yaml,124,POST,/platform/v1/rollouts/{id}/rollback,rollbackPlatformRollout,platform-control,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/providers/contracts/providers.openapi.yaml,15,GET,/providers/health,getExternalProviderHealth,providers,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/providers/contracts/providers.openapi.yaml,38,GET,/providers/readiness,getExternalProviderReadiness,providers,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/providers/contracts/providers.openapi.yaml,67,GET,/providers,listProviders,providers,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/providers/contracts/providers.openapi.yaml,95,GET,/providers/{providerId},getProvider,providers,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/providers/contracts/providers.openapi.yaml,114,PATCH,/providers/{providerId},updateProvider,providers,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/providers/contracts/providers.openapi.yaml,165,POST,/providers/maps/search,searchMapLocations,providers,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/providers/contracts/providers.openapi.yaml,196,POST,/providers/maps/reverse,reverseMapLocation,providers,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/providers/contracts/providers.openapi.yaml,227,POST,/providers/maps/route,routeMapLocations,providers,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
