manifest,service,ordinal,file,declared_state,exists,expected_sha256,actual_sha256,verification_state,baseline_sha
services/dsh/database/migrations/manifest.json,dsh,161,dsh-905_payment_projection_reconciliation.sql,HISTORICAL_IMMUTABLE,true,82e0cbb33ecc5ab806817636102146af12dbc8b6986bb4f4e486b44c952a2226,82e0cbb33ecc5ab806817636102146af12dbc8b6986bb4f4e486b44c952a2226,PASS,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/database/migrations/manifest.json,dsh,162,dsh-906_client_address_geofence_binding.sql,HISTORICAL_IMMUTABLE,true,4814469c49133b30a3024c7ef9ccb3e64476ab850cef0d0998576817a0c99e4f,4814469c49133b30a3024c7ef9ccb3e64476ab850cef0d0998576817a0c99e4f,PASS,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/database/migrations/manifest.json,dsh,163,dsh-907_address_mutation_receipts.sql,HISTORICAL_IMMUTABLE,true,c0475e9a62c2bc5b9f83dcc9329fb2d46af55b596f9a6dd29c66533848cb0474,c0475e9a62c2bc5b9f83dcc9329fb2d46af55b596f9a6dd29c66533848cb0474,PASS,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/database/migrations/manifest.json,dsh,164,dsh-907_service_area_topology.sql,HISTORICAL_IMMUTABLE,true,4d21a22bda7fb4e3f982d629f7d670df640b584907cd476e6020e2cd00e6864d,4d21a22bda7fb4e3f982d629f7d670df640b584907cd476e6020e2cd00e6864d,PASS,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/database/migrations/manifest.json,dsh,165,dsh-908_mutation_receipt_retention.sql,HISTORICAL_IMMUTABLE,true,9ecd41f4e1167ad538df28514cdd8fea940696741f61a7cc18dc2ddb18508eb6,9ecd41f4e1167ad538df28514cdd8fea940696741f61a7cc18dc2ddb18508eb6,PASS,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/database/migrations/manifest.json,dsh,166,dsh-908_privacy_audit_projection.sql,HISTORICAL_IMMUTABLE,true,1b38dd684cbf34ffcaffb94636a28174e8453409f7f2b853d3b08a8e7a8b8188,1b38dd684cbf34ffcaffb94636a28174e8453409f7f2b853d3b08a8e7a8b8188,PASS,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/database/migrations/manifest.json,dsh,167,dsh-909_manual_request_catalog_capabilities.sql,HISTORICAL_IMMUTABLE,true,a3215148ff8dd485098481c68e1416f8416534041473776f9e600bae6ca7f790,a3215148ff8dd485098481c68e1416f8416534041473776f9e600bae6ca7f790,PASS,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/database/migrations/manifest.json,dsh,168,dsh-910_reel_presentation_metadata.sql,HISTORICAL_IMMUTABLE,true,a35b83a82d68a1d6b58b4e79981572894ac6317910690580ae49e88930eb7430,a35b83a82d68a1d6b58b4e79981572894ac6317910690580ae49e88930eb7430,PASS,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/database/migrations/manifest.json,dsh,169,dsh-910_wlt_event_receipts.sql,HISTORICAL_IMMUTABLE,true,d3322b5b18807b9a96cb54c1f3945c471c8126cf24eb7541b0aee76d69a6e92d,d3322b5b18807b9a96cb54c1f3945c471c8126cf24eb7541b0aee76d69a6e92d,PASS,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/database/migrations/manifest.json,dsh,170,dsh-911_reel_partner_scope_constraints.sql,HISTORICAL_IMMUTABLE,true,f08893fdb56b2a19324be1b625f90ab252867a030a797443b905775358edf031,f08893fdb56b2a19324be1b625f90ab252867a030a797443b905775358edf031,PASS,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/database/migrations/manifest.json,dsh,171,dsh-930_catalog_slice_closure.sql,HISTORICAL_IMMUTABLE,true,e1bf4fc817b5a2c3e09804f9fb365418d69896c7575ef7a40dcab6462584321c,e1bf4fc817b5a2c3e09804f9fb365418d69896c7575ef7a40dcab6462584321c,PASS,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/database/migrations/manifest.json,dsh,172,dsh-931_assortment_pause_restore.sql,HISTORICAL_IMMUTABLE,true,68ba44bce025ea16c38fa593217960a5f96d963e8315a1042e0735052268a739,68ba44bce025ea16c38fa593217960a5f96d963e8315a1042e0735052268a739,PASS,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/database/migrations/manifest.json,dsh,173,dsh-932_audit_trigger_safety.sql,HISTORICAL_IMMUTABLE,true,aae7cdb486c78b5809e521a229f9c860fbc8036663a802e9f47ca279c60d3a98,aae7cdb486c78b5809e521a229f9c860fbc8036663a802e9f47ca279c60d3a98,PASS,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/database/migrations/manifest.json,dsh,174,dsh-933_partner_fleet_action_audit.sql,HISTORICAL_IMMUTABLE,true,5576e6675cc57aca662a24c067d1c4def49424264dc3a47f258ae98aee18d9a8,5576e6675cc57aca662a24c067d1c4def49424264dc3a47f258ae98aee18d9a8,PASS,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/database/migrations/manifest.json,dsh,175,dsh-950_catalog_approval_actor_scope.sql,HISTORICAL_IMMUTABLE,true,af05db4149d24c380fe464053dc1ea04b0b4ae96d0b19acb5bd9dde7c658bf71,af05db4149d24c380fe464053dc1ea04b0b4ae96d0b19acb5bd9dde7c658bf71,PASS,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
