service,method,path,baseline_sha
DSH,GET,/dsh/client/orders/{orderId}/rating-prompt,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/client/orders/{orderId}/ratings,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/client/orders/{orderId}/refunds,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/client/orders/{orderId}/tracking,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/client/special-requests,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/client/special-requests,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/client/special-requests/{requestId},f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/client/special-requests/{requestId}/approve-quote,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/client/special-requests/{requestId}/cancel,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/client/special-requests/{requestId}/execution,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/client/special-requests/{requestId}/information-exchange,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/client/special-requests/{requestId}/information-response,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/control-panel/finance/cod-reconciliation-cases,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/control-panel/finance/cod-reconciliation-cases/{caseId}/assign,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/control-panel/finance/cod-reconciliation-cases/{caseId}/resolve,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/control-panel/finance/cod-records,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,PUT,/dsh/control-panel/finance/commission-policies,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/control-panel/finance/commissions,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/control-panel/finance/commissions/{commissionId},f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/control-panel/finance/commissions/{commissionId}/adjust,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/control-panel/finance/commissions/{commissionId}/confirm,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/control-panel/finance/commissions/{commissionId}/reject,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/control-panel/finance/commissions/{commissionId}/reverse,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/control-panel/finance/commissions/{commissionId}/settle,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/control-panel/finance/financial-summary,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/control-panel/finance/ledger/entries,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/control-panel/finance/payment-sessions/{paymentSessionId}/refresh-provider-status,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/control-panel/finance/payment-sessions/{paymentSessionId}/timeline,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/control-panel/finance/payout-requests,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/control-panel/finance/payout-requests/{payoutId}/approve,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/control-panel/finance/payout-requests/{payoutId}/audit,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/control-panel/finance/payout-requests/{payoutId}/complete,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/control-panel/finance/payout-requests/{payoutId}/fail,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
