package_path,package_name,script,command,owner
package.json,bthwani-suite-next,runtime:workforce:down,"pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action down -Profiles identity,workforce",repository
package.json,bthwani-suite-next,runtime:workforce:status,"pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action status -Profiles identity,workforce",repository
package.json,bthwani-suite-next,runtime:workforce:migrate,"pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action migrate -Profiles identity,workforce",repository
package.json,bthwani-suite-next,runtime:workforce:smoke,"pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action smoke -Profiles identity,workforce",repository
package.json,bthwani-suite-next,runtime:codespaces:check,pwsh -NoProfile -ExecutionPolicy Bypass -File tools/scripts/check-codespaces-runtime.ps1,repository
package.json,bthwani-suite-next,runtime:codespaces:core,pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action up -Profiles dsh,repository
package.json,bthwani-suite-next,runtime:codespaces:wlt,pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action up -Profiles wlt,repository
package.json,bthwani-suite-next,runtime:codespaces:smoke,"pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action smoke -Profiles dsh,wlt",repository
package.json,bthwani-suite-next,guard:ui-kit-boundary,node tools/guards/ui-kit-boundary-gate.mjs,repository
package.json,bthwani-suite-next,guard:fullstack-boundary,node tools/guards/fullstack-boundary-gate.mjs,repository
package.json,bthwani-suite-next,guard:wlt-financial-boundary,node tools/guards/wlt-financial-boundary-gate.mjs,repository
package.json,bthwani-suite-next,guard:runtime-config,node tools/guards/runtime-config-gate.mjs,repository
package.json,bthwani-suite-next,guard:no-broken-imports,node tools/guards/no-broken-imports.mjs,repository
package.json,bthwani-suite-next,guard:cleanup-policy,node tools/guards/cleanup-policy-gate.mjs,repository
package.json,bthwani-suite-next,guard:contract-registry-drift,node tools/guards/contract-registry-drift-gate.mjs,repository
package.json,bthwani-suite-next,guard:migration-manifest-drift,node tools/guards/migration-manifest-drift-gate.mjs,repository
package.json,bthwani-suite-next,guard:generated-client-provenance,node tools/guards/generated-client-provenance-gate.mjs,repository
package.json,bthwani-suite-next,guard:contract-scope-binding,node tools/guards/contract-scope-binding-gate.mjs,repository
package.json,bthwani-suite-next,guard:openapi-bundle-provenance,node tools/guards/openapi-bundle-provenance-gate.mjs,repository
package.json,bthwani-suite-next,runtime:wlt:up,pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action up -Profiles wlt,repository
package.json,bthwani-suite-next,runtime:wlt:down,pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action down -Profiles wlt,repository
package.json,bthwani-suite-next,runtime:wlt:status,pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action status -Profiles wlt,repository
package.json,bthwani-suite-next,runtime:wlt:migrate,pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action migrate -Profiles wlt,repository
package.json,bthwani-suite-next,runtime:wlt:seed,pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action seed -Profiles wlt,repository
package.json,bthwani-suite-next,runtime:wlt:smoke,pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action smoke -Profiles wlt,repository
package.json,bthwani-suite-next,runtime:financial-simulators,pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action up -Profiles financial-simulators,repository
package.json,bthwani-suite-next,runtime:mail,pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action up -Profiles mail,repository
package.json,bthwani-suite-next,runtime:cache,pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action up -Profiles cache,repository
package.json,bthwani-suite-next,runtime:wiremock:financial:smoke,pwsh -NoProfile -ExecutionPolicy Bypass -File tools/scripts/smoke-wiremock-financial-provider.ps1,repository
package.json,bthwani-suite-next,runtime:wlt:provider:smoke,pwsh -NoProfile -ExecutionPolicy Bypass -File tools/scripts/smoke-wlt-provider-through-wlt.ps1,repository
package.json,bthwani-suite-next,runtime:context:status,pwsh -NoProfile -ExecutionPolicy Bypass -File tools/scripts/docker-context-status.ps1,repository
package.json,bthwani-suite-next,runtime:context:local,pwsh -NoProfile -ExecutionPolicy Bypass -File tools/scripts/docker-context-local.ps1,repository
package.json,bthwani-suite-next,graphify,graphify update . --force,repository
package.json,bthwani-suite-next,graphify:callflow,graphify export callflow-html,repository
package.json,bthwani-suite-next,graphify:version,graphify --version,repository
package.json,bthwani-suite-next,graphify:code,graphify update . --force,repository
package.json,bthwani-suite-next,graphify:full,graphify .,repository
package.json,bthwani-suite-next,nx:projects,nx show projects,repository
package.json,bthwani-suite-next,nx:graph,nx graph,repository
package.json,bthwani-suite-next,nx:typecheck,nx run-many -t typecheck --all,repository
package.json,bthwani-suite-next,nx:build,nx run-many -t build --all,repository
package.json,bthwani-suite-next,nx:lint,nx run-many -t lint --all,repository
package.json,bthwani-suite-next,nx:test,nx run-many -t test --all,repository
package.json,bthwani-suite-next,affected:typecheck,nx affected -t typecheck,repository
package.json,bthwani-suite-next,affected:build,nx affected -t build,repository
package.json,bthwani-suite-next,affected:lint,nx affected -t lint,repository
package.json,bthwani-suite-next,affected:test,nx affected -t test,repository
package.json,bthwani-suite-next,repair,pnpm -r --if-present run lint --fix,repository
package.json,bthwani-suite-next,lint,pnpm -r --if-present lint,repository
