path,owner,classification,lines,bytes,sha256,decision
services/dsh/backend/internal/fieldreadiness/fieldreadiness.go,dsh,SOURCE,775,26621,936acaf140fb5c00657c7f7de3304cd32139905db177c39b9f9c7f8e7d37b6c8,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/frontend/app-partner/account/PartnerHubScreen.tsx,dsh,SOURCE,766,24633,28f0513208e6e375a36af4b9d3de81709a6210e718bc2092362532214d02e9ba,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
core/workforce/backend/internal/workforce/service.go,workforce,SOURCE,758,26868,9b169b1f0cae2aa6fe857b323b0242a9e4c067bff7914a8ef21a0a14e65c3dd8,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/wlt/backend/internal/cod/commission_governance.go,wlt,SOURCE,754,23106,e69baf162fa839991437f805195499874c2ce78f653cdac7dd330aca97f7a4f3,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
governance/operational_journey_protocol_package/04_MATRICES_PROJECT_SURFACE_CONTROL_BINDING.md,governance,GOVERNANCE,749,21042,1edde2a5f912a4e99d5072cc32c493a242345a81ee1069b54faaaf9d6acecd87,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/wlt/backend/internal/commercial/commercial.go,wlt,SOURCE,733,23345,726ffe831f9345201800317a654044d7723c8fe9c675089ef9ee2d9a2d9c3296,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/backend/internal/http/subscription_purchases.go,dsh,SOURCE,729,28164,2fda73dd42dc538138314f14dbb3ef7ee0197344d34f20729b87e4f86a1c742f,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/database/seeds/local/media/media-manifest.json,dsh,SEED,724,26201,84c33366e86cd8e309d9c3c63ded4b2723b0dfd69d686b6692c5f5dba7ba9bdb,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/contracts/dsh.refunds.openapi.yaml,dsh,CONTRACT,723,21014,7b6b6ec7e4c1e14e911460fec643f861b0963deb82751815c33ba2950c5b000e,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/contracts/dsh.partner-delivery.openapi.yaml,dsh,CONTRACT,717,26307,ecca7a78a3b603ab0d669ea80363dc1611658fdbe57320bd612a511017ac244e,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/frontend/control-panel/operations/ExceptionsEscalationsScreen.tsx,dsh,SOURCE,704,31167,9d26c9954983369154ec9f2240416030389d20dbb4a7f6dc3acb3adcc4249364,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/wlt/backend/internal/cod/sovereign_cod.go,wlt,SOURCE,689,26575,c7f2fc0a935e37027c343bb359bc29cb6d2d20a09224ad00f5418b015171f7de,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/backend/internal/store/governance.go,dsh,SOURCE,687,23918,82f792f72913df3213d0cc71146c5c00b548e83e9a4a91df8d00c81db684d1f1,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/wlt/backend/internal/payout/payout_governance.go,wlt,SOURCE,682,30277,ced6d9467a0f5d2ceab01e6f966a95d29ceec636ac237704bbef094b042239c1,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/backend/internal/http/protected_store.go,dsh,SOURCE,681,22785,9ac48e7c8dd15df9bd98600cd2369d221d67ef0cde1d10ccaccd2c061e178ab7,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/frontend/control-panel/catalogs/products/CategoryControlRoom.tsx,dsh,SOURCE,671,25939,558ea3909a2e7a0391ad4cf57a74f50d4db21bba3a8f475c7c6d9745f3ae4320,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/contracts/dsh.partner-onboarding.openapi.yaml,dsh,CONTRACT,662,24838,0b7ab83b2d461e169903336f7e9f8bedac6fb28199f690c1a587922a982cb52b,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/backend/internal/specialrequests/specialrequests.go,dsh,SOURCE,656,25916,3827abe1d03503feec4fc1b4262e5abbc3431d294db7a9f3046e530300381342,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/frontend/shared/operations/dsh-operational.contract.ts,dsh,SOURCE,642,18063,efcee715cc370c9ac1722e00241496ff0c79685f1c7126766eb6bef5a0afca61,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
core/workforce/contracts/workforce.operational-core.openapi.yaml,workforce,CONTRACT,637,23327,aaf37d20414e208c163370c1f57c349cc8f43e6908d5eee4c636c9f02551b5a8,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/frontend/app-client/cart/CartScreen.tsx,dsh,SOURCE,632,23532,cd842030e5b83d51c9bbb11f603ed7173c3f95e58de1da4b88e2a43ea8d36582,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/backend/internal/platformpolicies/operational_decision.go,dsh,SOURCE,627,22534,c0772eecd932ba2ab717edde960fbbdebd24cc76f39701dafee3cbe6df049cc0,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/frontend/app-partner/DshPartnerRouteRenderer.tsx,dsh,SOURCE,622,20584,aafe9d9480bf8d411150fe2b27f38aebfc929a0739971fb36cc5f0cf6447ef9d,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/frontend/app-client/store/StoreHero.tsx,dsh,SOURCE,618,18143,fbccb36ba4941928351512f815c35e4e625e3ae404dc4de96611bd6ac4664e53,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
tools/guards/backend-api-binding-gate.mjs,tools,TOOLING,618,21052,571bd06b3f732f1c7432e5d7c6fd79d23fd82057751a28a3ef9835d2a957da88,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
core/workforce/backend/internal/http/server.go,workforce,SOURCE,614,23670,d3e5f59abfad24abca814ccb1c5f8037b673586b2c8d774900bd5c00856c529c,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/contracts/dsh.incident-governance.openapi.yaml,dsh,CONTRACT,609,21335,3c042b1b55e21d84613d91e9ffc8bba9d926cdb5bd4bc7d0e55f0cdae43e7b72,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/backend/internal/orders/preparation_issues.go,dsh,SOURCE,608,19507,6c787f6e524cc819ae21e3f10eb2e0a38c0572d4c792922c1c6e76df6c409cb4,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/frontend/app-client/home-discovery/HomeReelsSection.tsx,dsh,SOURCE,608,18009,fca79a8add4e03c2223ad82ba794ff465c6e4b04c3c69604a11441a9aca30709,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/backend/internal/centralcatalog/catalog_governance.go,dsh,SOURCE,607,26000,07d70577ce69af4eb2495361de8b7d284a2597bb24ddcce7a79f85b7056fe8f1,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/wlt/backend/internal/payment/payment.go,wlt,SOURCE,607,23308,6d28413a06c6d1adfe20e0b67ee999096ff1972077c3998b844157f7873bbd27,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/contracts/components/schemas/partner.schemas.yaml,dsh,CONTRACT,602,19722,f654e5155d0a8502d21e5ad3f9a303c12f22d262e15de9e4b16bac347b539801,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/contracts/paths/operator.paths.yaml,dsh,CONTRACT,601,21229,cae3eb70b6932ceafa584f8336671148587c98639af02fa508cac229c4f5280e,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
infra/docker/scripts/schema-migration-runner.ps1,infra,TOOLING,594,22700,ab3e6a2e9c323d318213b268ba9f2e12168b073995d27417d1e800b56ec5c9fd,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/backend/internal/partner/model.go,dsh,SOURCE,591,24989,84f75023f4715a2ebb19e33531a9d8c3091f9182b406aac001dc1461cddc6947,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/contracts/dsh.dispatch-governance.openapi.yaml,dsh,CONTRACT,591,21777,7c594b2d9bcef288889aecc5432b969e7cedc887898078efc83f1e3643209549,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/backend/internal/specialrequests/service.go,dsh,SOURCE,588,21139,38a148a1c04efc944bf2b4e10598fc33b0cda1f3ffe1aead98401ca3e6ecaa14,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
core/workforce/contracts/workforce.sovereign-leadership.openapi.yaml,workforce,CONTRACT,582,17587,7cf9efcbba08d8a1d32f914d8aeb170695f68aa66edcb0ca31c5ed15cbeeedc2,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/backend/internal/wlt/client_test.go,dsh,SOURCE,579,22597,0de34d6f0185ca003b7cae6d7a0235533a5d259e4f097434a6a836fd615e3a15,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
tools/scripts/diagnose-mobile-firebase-push.ps1,tools,TOOLING,579,27424,c89e9b66d5f3903c0e44d7cafde69c73292fff1eb3e8e05f567cab4b1c1b8f8b,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
tools/scripts/openapi-context-composer.mjs,tools,TOOLING,578,18939,bd61621f21a121975dce2065e17b4156ac5db83cc442caab277ec62f28c391d1,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
infra/docker/scripts/runtime.ps1,infra,TOOLING,574,21517,8ee1fbdcfe4c47e139cecc0c3df667fc99002b6c02a662057a6f2afbdd82b27a,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
core/identity/backend/internal/http/runtime_readiness_boundary.go,identity,SOURCE,567,17881,480d5c9eaa3398ca6a049051928fbabe85d765815758ae3889c1fa703b774f4a,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/frontend/app-captain/account/DshCaptainOperationsScreen.tsx,dsh,SOURCE,562,22900,13d3082e8d7f6c5eea12f1301550e9ef91cfdaa18e1d9a8533826b02ff40ad4e,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/backend/internal/http/checkout.go,dsh,SOURCE,561,23430,e7e654bc636b926d9beb8ea1240b5d76448ba1d82857a61b81cf9b939bfe6563,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/wlt/contracts/wlt.settlements-commissions.openapi.yaml,wlt,CONTRACT,550,20649,066057f8d5c44a1a2e60a8490e5955d564db8ef52022f2f5fe44317b7fb9a002,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/backend/internal/dispatch/dispatch.go,dsh,SOURCE,548,19455,5cb4c9b9dff5a5ab1a01b07c03c44358c8f2bddf83a701e14b32eadb4d87a9cb,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/frontend/app-client/account/AddressLocationScreen.tsx,dsh,SOURCE,547,21496,e7d27bb2d45d65a55e5104a4dfc477fb041d6f462a862d725400ff0fe3ad4632,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/backend/internal/partner/onboarding_integrity_repository.go,dsh,SOURCE,546,19878,3190cd3865772480da8796a55fc49b6f3152bb41f382021809d562e6817a0420,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
core/identity/backend/internal/http/server.go,identity,SOURCE,545,19070,55a1551cd185fa845584a2dcdb25811b1bdd48849ecf84ed2741f4b74a81b597,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
governance/guards/guard-registry.json,governance,GOVERNANCE,545,24073,8a67aac562d205c579a8547e06cc61bc8173d712c882c7e4f936dca50951dc32,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/frontend/shared/partner/partner.types.ts,dsh,SOURCE,543,15622,7338f34e2e9b4e2776877add398f57546897efbad81287b37d14515be3b9d967,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/frontend/app-field/onboarding/DshFieldOnboardingScreen.tsx,dsh,SOURCE,537,23597,18adb7af7e733d2fb05a2e1b71dab1b5dab1b3f6006b218c96ffe33c83c1fa40,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/frontend/app-client/home-discovery/HomeDiscoveryShell.tsx,dsh,SOURCE,534,17567,0a62efdab1067a7f507d00cea07f43fe48534581adff4c3a144a362ebece6b1b,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/backend/internal/http/commercial_programs.go,dsh,SOURCE,533,19505,fc8a8d1bf522e1f7e8fb7c596885c59d52c4e063b9330befec3ad66a2aa21517,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/capability-map.ts,dsh,SOURCE,532,18202,85dfddcdff1b9bbb9b973232cc422fd21f86e6e0b99eaec2ded06749202973d5,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/frontend/control-panel/platform/OperationalPolicyGovernanceSection.tsx,dsh,SOURCE,527,18948,1de80e961fb5bd58f0550b6b049380b2eacc45efb82ae8a15daae15d89f99f9d,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/frontend/shared/workforce/use-workforce-controllers.ts,dsh,SOURCE,526,16164,2c2d3bf2542e9a9d598a7676243da2f5fb76eb40b6aede05793f4de47fe18415,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/backend/internal/partner/handler.go,dsh,SOURCE,525,18421,439c4dfa40bda95ce5d86d9269cd26ad7b71619d67014198348ea6e4a344a965,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/backend/internal/orders/preparation.go,dsh,SOURCE,524,15287,67d4223d7d5aef5e5ab57377212a77d9e429ebd5b76b677785022f40c82afd6a,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/backend/internal/marketing/commercial_programs.go,dsh,SOURCE,522,18577,d7661f91c3c11bf7d3f48536ac6df6fcf00d096a106555eea304655174b71fe0,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
governance/operational_journey_protocol_package/05_MATRICES_BACKEND_DATABASE_API_SECURITY.md,governance,GOVERNANCE,520,14014,73f93797ad50c34c89582a6f1d4565eb3e291c41c233b191a139ca255f2211cd,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/backend/internal/notifications/notifications.go,dsh,SOURCE,520,14627,6206b3dcd7d22a58b9e897deaceb1372fb6757b587d5079cc72f9b0f7881b7b8,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/backend/internal/http/specialrequests.go,dsh,SOURCE,514,21309,ea889afc9b444b16d763eb65787d7ca048e08e15a4109373726e59efafc69634,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/frontend/app-partner/account/PartnerHubNav.tsx,dsh,SOURCE,513,16341,b8f15ec17fc747c52aa2c95674dff9d8ae339a8ad316ea8adeb6b21d4412f454,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/backend/internal/orders/order_truth.go,dsh,SOURCE,512,19434,387cfd609234c9b36bad34880d8ea882600ddd10424f206f8dac7e3fe776d8af,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/wlt/contracts/wlt.refunds.openapi.yaml,wlt,CONTRACT,509,20150,4a685ec6030847fd511075b1a72d3b8574fa07276569223c8fd20bcb50f5771a,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/backend/internal/centralcatalog/reels.go,dsh,SOURCE,508,15431,653508a8be78bb8626d119e95014bbe9e878fa65ab334fd54c5944aa13f02d31,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/backend/internal/support/order_rescue.go,dsh,SOURCE,508,16956,8667f773a3d8057f7c429426c72b237213eaa8471ad11a451cd4240d276b95ec,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/frontend/app-field/components/DshFieldPartnerProductsScreen.tsx,dsh,SOURCE,501,25006,62a38c65c5f1a4801c53b82e26ae7eec35aeb1bdeac1494ac2a53f158c8b0556,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/frontend/control-panel/platform/PlatformDashboardScreen.tsx,dsh,SOURCE,501,19947,97427569fb16ea1f1485256f0b5458de79a291bbaf52b49ba59db37c62a5016c,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/wlt/contracts/wlt.payments.openapi.yaml,wlt,CONTRACT,501,21720,dd72627d52258617810a8e0ac7dcb78610718909fefa350a2416570cf70f3ffb,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
